. Sequence file : [Muscle_ACT1_Complete_sequence_for_phylogeny.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #29	20   	-3241.08596	Yes        	8        	413.607    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.62293   0.07647   0.43446   0.11200  
      	     	          	           	          	           	             	                                      	 0.10119  -1.37286   0.07674   1.19494  
      	     	          	           	          	           	             	                                      	 0.51708   0.06902  -0.82321   0.23711  
      	     	          	           	          	           	             	                                      	 0.11541   0.93057   0.20530  -1.25128  

  #30	20   	-3323.46320	Yes        	8        	393.357    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.72308   0.05658   0.54424   0.12227  
      	     	          	           	          	           	             	                                      	 0.07487  -1.28942   0.10890   1.10565  
      	     	          	           	          	           	             	                                      	 0.64772   0.09795  -0.91496   0.16929  
      	     	          	           	          	           	             	                                      	 0.12600   0.86103   0.14658  -1.13361  

  #31	20   	-3289.95232	Yes        	8        	2751.179    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.86406   0.09285   0.54674   0.22447  
      	     	          	           	          	           	             	                                      	 0.12287  -1.14147   0.08396   0.93464  
      	     	          	           	          	           	             	                                      	 0.65071   0.07551  -0.90396   0.17774  
      	     	          	           	          	           	             	                                      	 0.23131   0.72786   0.15390  -1.11307  

  #32	20   	-3179.23239	Yes        	8        	1302.877    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.75728   0.07893   0.63255   0.04580  
      	     	          	           	          	           	             	                                      	 0.10445  -1.21994   0.06203   1.05346  
      	     	          	           	          	           	             	                                      	 0.75283   0.05579  -1.02630   0.21768  
      	     	          	           	          	           	             	                                      	 0.04720   0.82039   0.18848  -1.05607  

  #33	20   	-3202.70871	Yes        	8        	4.116    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.68215   0.05474   0.42418   0.20323  
      	     	          	           	          	           	             	                                      	 0.07243  -1.25211   0.01495   1.16473  
      	     	          	           	          	           	             	                                      	 0.50484   0.01344  -0.76766   0.24937  
      	     	          	           	          	           	             	                                      	 0.20943   0.90705   0.21592  -1.33239  

  #34	20   	-3304.02101	Yes        	8        	2508.549    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.81057   0.07021   0.64016   0.10021  
      	     	          	           	          	           	             	                                      	 0.09290  -1.23632   0.11341   1.03002  
      	     	          	           	          	           	             	                                      	 0.76188   0.10200  -0.99302   0.12914  
      	     	          	           	          	           	             	                                      	 0.10327   0.80213   0.11181  -1.01721  

  #35	20   	-3212.93144	Yes        	8        	3.961    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.74928   0.06786   0.47622   0.20519  
      	     	          	           	          	           	             	                                      	 0.08980  -1.20795   0.00860   1.10955  
      	     	          	           	          	           	             	                                      	 0.56678   0.00773  -0.79933   0.22482  
      	     	          	           	          	           	             	                                      	 0.21145   0.86407   0.19466  -1.27018  

  #36	20   	-3306.02403	Yes        	8        	4.182    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.89389   0.08611   0.65058   0.15720  
      	     	          	           	          	           	             	                                      	 0.11394  -1.08331   0.03328   0.93609  
      	     	          	           	          	           	             	                                      	 0.77429   0.02993  -0.99074   0.18651  
      	     	          	           	          	           	             	                                      	 0.16200   0.72899   0.16149  -1.05248  

  #37	20   	-3254.88689	Yes        	8        	2750.053    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.74695   0.13425   0.48175   0.13095  
      	     	          	           	          	           	             	                                      	 0.17764  -1.27394   0.12646   0.96983  
      	     	          	           	          	           	             	                                      	 0.57336   0.11374  -0.93435   0.24725  
      	     	          	           	          	           	             	                                      	 0.13494   0.75526   0.21408  -1.10429  

  #38	20   	-3244.60653	Yes        	8        	12.733    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.82645   0.11380   0.58307   0.12958  
