. Sequence file : [Muscle_ACT1_Exon2_for_phylogeny.fasta.alter2.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.49247   0.07996  -0.76871   0.19627  
      	     	          	           	          	           	             	                                      	 0.20553   0.83741   0.16438  -1.20733  

  #29	104   	-5782.47912	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.82859   0.10604   0.50726   0.21529  
      	     	          	           	          	           	             	                                      	 0.13212  -1.19934   0.10995   0.95726  
      	     	          	           	          	           	             	                                      	 0.57702   0.10039  -0.88275   0.20535  
      	     	          	           	          	           	             	                                      	 0.20511   0.73199   0.17199  -1.10908  

  #30	104   	-5846.14443	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.82449   0.11224   0.51974   0.19252  
      	     	          	           	          	           	             	                                      	 0.13984  -1.25283   0.09321   1.01978  
      	     	          	           	          	           	             	                                      	 0.59122   0.08510  -0.84453   0.16821  
      	     	          	           	          	           	             	                                      	 0.18342   0.77979   0.14089  -1.10409  

  #31	104   	-6233.42846	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.89275   0.08982   0.54472   0.25821  
      	     	          	           	          	           	             	                                      	 0.11191  -1.16059   0.14657   0.90211  
      	     	          	           	          	           	             	                                      	 0.61963   0.13382  -0.90273   0.14929  
      	     	          	           	          	           	             	                                      	 0.24600   0.68981   0.12503  -1.06085  

  #32	104   	-6195.57882	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.76361   0.09639   0.49689   0.17033  
      	     	          	           	          	           	             	                                      	 0.12009  -1.36121   0.13935   1.10177  
      	     	          	           	          	           	             	                                      	 0.56523   0.12723  -0.81294   0.12049  
      	     	          	           	          	           	             	                                      	 0.16228   0.84248   0.10092  -1.10567  

  #33	104   	-6124.82801	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.88956   0.09223   0.56837   0.22896  
      	     	          	           	          	           	             	                                      	 0.11492  -1.19917   0.08543   0.99882  
      	     	          	           	          	           	             	                                      	 0.64654   0.07800  -0.84497   0.12043  
      	     	          	           	          	           	             	                                      	 0.21813   0.76376   0.10087  -1.08276  

  #34	104   	-5997.97001	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.78582   0.11475   0.46068   0.21039  
      	     	          	           	          	           	             	                                      	 0.14297  -1.31227   0.06521   1.10409  
      	     	          	           	          	           	             	                                      	 0.52403   0.05954  -0.74437   0.16079  
      	     	          	           	          	           	             	                                      	 0.20044   0.84426   0.13467  -1.17937  

  #35	104   	-6043.60675	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.77260   0.08926   0.55639   0.12695  
      	     	          	           	          	           	             	                                      	 0.11121  -1.23816   0.08620   1.04075  
      	     	          	           	          	           	             	                                      	 0.63291   0.07870  -0.92611   0.21450  
      	     	          	           	          	           	             	                                      	 0.12094   0.79582   0.17966  -1.09642  

  #36	104   	-5732.32946	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.85604   0.06493   0.54387   0.24724  
      	     	          	           	          	           	             	                                      	 0.08089  -1.15071   0.15646   0.91336  
      	     	          	           	          	           	             	                                      	 0.61867   0.14284  -0.93326   0.17175  
      	     	          	           	          	           	             	                                      	 0.23555   0.69841   0.14385  -1.07781  

  #37	104   	-5761.33731	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.84601   0.08167   0.53503   0.22931  
      	     	          	           	          	           	             	                                      	 0.10175  -1.21367   0.12277   0.98915  
      	     	          	           	          	           	             	                                      	 0.60861   0.11208  -0.86542   0.14473  
      	     	          	           	          	           	             	                                      	 0.21847   0.75637   0.12121  -1.09605  

  #38	104   	-5766.68018	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.90962   0.07894   0.52631   0.30438  
      	     	          	           	          	           	             	                                      	 0.09835  -1.07933   0.08818   0.89280  
      	     	          	           	          	           	             	                                      	 0.59869   0.08051  -0.87109   0.19190  
      	     	          	           	          	           	             	                                      	 0.28999   0.68270   0.16072  -1.13340  

  #39	104   	-5977.97028	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.81123   0.07368   0.53676   0.20078  
      	     	          	           	          	           	             	                                      	 0.09180  -1.27676   0.08910   1.09586  
      	     	          	           	          	           	             	                                      	 0.61058   0.08135  -0.80952   0.11760  
      	     	          	           	          	           	             	                                      	 0.19129   0.83796   0.09849  -1.12775  

