. Sequence file : [Muscle_GPD1.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #21	19   	-2982.42440	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90528   0.10289   0.63059   0.17181  
      	     	          	           	          	           	             	                                      	 0.17975  -1.19376   0.12137   0.89264  
      	     	          	           	          	           	             	                                      	 0.93392   0.10289  -1.20861   0.17181  
      	     	          	           	          	           	             	                                      	 0.17975   0.53456   0.12137  -0.83569  

  #22	19   	-2861.56607	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90663   0.10966   0.61387   0.18311  
      	     	          	           	          	           	             	                                      	 0.19158  -1.18990   0.12936   0.86896  
      	     	          	           	          	           	             	                                      	 0.90915   0.10966  -1.20192   0.18311  
      	     	          	           	          	           	             	                                      	 0.19158   0.52039   0.12936  -0.84132  

  #23	19   	-2990.73950	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90828   0.11793   0.59343   0.19692  
      	     	          	           	          	           	             	                                      	 0.20603  -1.18518   0.13911   0.84004  
      	     	          	           	          	           	             	                                      	 0.87888   0.11793  -1.19373   0.19692  
      	     	          	           	          	           	             	                                      	 0.20603   0.50306   0.13911  -0.84821  

  #24	19   	-3059.41197	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90108   0.08176   0.68279   0.13653  
      	     	          	           	          	           	             	                                      	 0.14284  -1.20582   0.09645   0.96653  
      	     	          	           	          	           	             	                                      	 1.01122   0.08176  -1.22951   0.13653  
      	     	          	           	          	           	             	                                      	 0.14284   0.57881   0.09645  -0.81811  

  #25	19   	-3006.73300	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90135   0.08314   0.67938   0.13883  
      	     	          	           	          	           	             	                                      	 0.14525  -1.20503   0.09807   0.96171  
      	     	          	           	          	           	             	                                      	 1.00619   0.08314  -1.22815   0.13883  
      	     	          	           	          	           	             	                                      	 0.14525   0.57593   0.09807  -0.81925  

  #26	19   	-3083.00383	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90132   0.08298   0.67978   0.13856  
      	     	          	           	          	           	             	                                      	 0.14497  -1.20512   0.09788   0.96227  
      	     	          	           	          	           	             	                                      	 1.00677   0.08298  -1.22831   0.13856  
      	     	          	           	          	           	             	                                      	 0.14497   0.57626   0.09788  -0.81912  

  #27	19   	-3058.14613	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90384   0.09565   0.64847   0.15972  
      	     	          	           	          	           	             	                                      	 0.16711  -1.19789   0.11283   0.91795  
      	     	          	           	          	           	             	                                      	 0.96040   0.09565  -1.21577   0.15972  
      	     	          	           	          	           	             	                                      	 0.16711   0.54972   0.11283  -0.82967  

  #28	19   	-3026.82761	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.89933   0.07301   0.70442   0.12191  
      	     	          	           	          	           	             	                                      	 0.12755  -1.21081   0.08612   0.99715  
      	     	          	           	          	           	             	                                      	 1.04326   0.07301  -1.23818   0.12191  
      	     	          	           	          	           	             	                                      	 0.12755   0.59715   0.08612  -0.81082  

  #29	19   	-3040.00671	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90243   0.08856   0.66600   0.14787  
      	     	          	           	          	           	             	                                      	 0.15471  -1.20194   0.10446   0.94277  
      	     	          	           	          	           	             	                                      	 0.98637   0.08856  -1.22279   0.14787  
      	     	          	           	          	           	             	                                      	 0.15471   0.56459   0.10446  -0.82376  

  #30	19   	-3087.34495	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90692   0.11111   0.61027   0.18554  
      	     	          	           	          	           	             	                                      	 0.19412  -1.18907   0.13107   0.86387  
      	     	          	           	          	           	             	                                      	 0.90382   0.11111  -1.20048   0.18554  
      	     	          	           	          	           	             	                                      	 0.19412   0.51734   0.13107  -0.84253  

  #31	19   	-3067.44828	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90526   0.10277   0.63089   0.17161  
      	     	          	           	          	           	             	                                      	 0.17954  -1.19383   0.12123   0.89306  
      	     	          	           	          	           	             	                                      	 0.93436   0.10277  -1.20873   0.17161  
      	     	          	           	          	           	             	                                      	 0.17954   0.53482   0.12123  -0.83559  

  #32	19   	-3192.99999	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90096   0.08119   0.68419   0.13558  
      	     	          	           	          	           	             	                                      	 0.14185  -1.20614   0.09578   0.96852  
      	     	          	           	          	           	             	                                      	 1.01331   0.08119  -1.23008   0.13558  
      	     	          	           	          	           	             	                                      	 0.14185   0.58001   0.09578  -0.81763  

  #33	19   	-3099.21548	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90490   0.10097   0.63533   0.16860  
      	     	          	           	          	           	             	                                      	 0.17640  -1.19485   0.11911   0.89934  
      	     	          	           	          	           	             	                                      	 0.94094   0.10097  -1.21051   0.16860  
      	     	          	           	          	           	             	                                      	 0.17640   0.53858   0.11911  -0.83409  

  #34	19   	-3089.05271	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90339   0.09338   0.65408   0.15593  
      	     	          	           	          	           	             	                                      	 0.16314  -1.19919   0.11015   0.92589  
      	     	          	           	          	           	             	                                      	 0.96871   0.09338  -1.21802   0.15593  
      	     	          	           	          	           	             	                                      	 0.16314   0.55448   0.11015  -0.82777  

  #35	19   	-3061.43822	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90229   0.08787   0.66769   0.14673  
      	     	          	           	          	           	             	                                      	 0.15352  -1.20233   0.10366   0.94516  
      	     	          	           	          	           	             	                                      	 0.98887   0.08787  -1.22347   0.14673  
      	     	          	           	          	           	             	                                      	 0.15352   0.56602   0.10366  -0.82319  

  #36	19   	-2884.84905	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90578   0.10538   0.62444   0.17596  
      	     	          	           	          	           	             	                                      	 0.18410  -1.19234   0.12430   0.88394  
      	     	          	           	          	           	             	                                      	 0.92482   0.10538  -1.20615   0.17596  
      	     	          	           	          	           	             	                                      	 0.18410   0.52936   0.12430  -0.83776  

  #37	19   	-2865.67651	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90191   0.08593   0.67248   0.14349  
      	     	          	           	          	           	             	                                      	 0.15013  -1.20344   0.10137   0.95194  
      	     	          	           	          	           	             	                                      	 0.99596   0.08593  -1.22539   0.14349  
      	     	          	           	          	           	             	                                      	 0.15013   0.57008   0.10137  -0.82158  

  #38	19   	-3149.73602	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90252   0.08903   0.66484   0.14866  
      	     	          	           	          	           	             	                                      	 0.15553  -1.20167   0.10502   0.94112  
      	     	          	           	          	           	             	                                      	 0.98464   0.08903  -1.22233   0.14866  
      	     	          	           	          	           	             	                                      	 0.15553   0.56360   0.10502  -0.82415  

  #39	19   	-3069.87591	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90612   0.10707   0.62025   0.17879  
      	     	          	           	          	           	             	                                      	 0.18706  -1.19137   0.12631   0.87800  
      	     	          	           	          	           	             	                                      	 0.91861   0.10707  -1.20448   0.17879  
      	     	          	           	          	           	             	                                      	 0.18706   0.52580   0.12631  -0.83917  

  #40	19   	-3128.61541	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90160   0.08436   0.67636   0.14087  
      	     	          	           	          	           	             	                                      	 0.14739  -1.20433   0.09952   0.95742  
      	     	          	           	          	           	             	                                      	 1.00170   0.08436  -1.22694   0.14087  
      	     	          	           	          	           	             	                                      	 0.14739   0.57336   0.09952  -0.82027  

  #41	19   	-2962.28107	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90379   0.09536   0.64919   0.15923  
      	     	          	           	          	           	             	                                      	 0.16660  -1.19806   0.11249   0.91897  
      	     	          	           	          	           	             	                                      	 0.96147   0.09536  -1.21606   0.15923  
      	     	          	           	          	           	             	                                      	 0.16660   0.55033   0.11249  -0.82942  

  #42	19   	-3175.56968	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90420   0.09743   0.64408   0.16269  
      	     	          	           	          	           	             	                                      	 0.17021  -1.19688   0.11493   0.91173  
      	     	          	           	          	           	             	                                      	 0.95390   0.09743  -1.21402   0.16269  
      	     	          	           	          	           	             	                                      	 0.17021   0.54600   0.11493  -0.83114  

  #43	19   	-3070.21326	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90528   0.10286   0.63066   0.17176  
      	     	          	           	          	           	             	                                      	 0.17970  -1.19378   0.12134   0.89274  
      	     	          	           	          	           	             	                                      	 0.93402   0.10286  -1.20864   0.17176  
      	     	          	           	          	           	             	                                      	 0.17970   0.53463   0.12134  -0.83566  

  #44	19   	-3045.13401	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90309   0.09189   0.65776   0.15344  
      	     	          	           	          	           	             	                                      	 0.16054  -1.20004   0.10840   0.93110  
      	     	          	           	          	           	             	                                      	 0.97416   0.09189  -1.21949   0.15344  
      	     	          	           	          	           	             	                                      	 0.16054   0.55760   0.10840  -0.82653  

  #45	19   	-3050.74376	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90637   0.10836   0.61708   0.18094  
      	     	          	           	          	           	             	                                      	 0.18931  -1.19064   0.12782   0.87351  
      	     	          	           	          	           	             	                                      	 0.91391   0.10836  -1.20320   0.18094  
      	     	          	           	          	           	             	                                      	 0.18931   0.52311   0.12782  -0.84024  

  #46	19   	-3087.51640	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90738   0.11340   0.60462   0.18936  
      	     	          	           	          	           	             	                                      	 0.19812  -1.18776   0.13377   0.85588  
      	     	          	           	          	           	             	                                      	 0.89546   0.11340  -1.19822   0.18936  
      	     	          	           	          	           	             	                                      	 0.19812   0.51255   0.13377  -0.84444  

  #47	19   	-3018.05004	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90449   0.09891   0.64041   0.16517  
      	     	          	           	          	           	             	                                      	 0.17281  -1.19603   0.11668   0.90654  
      	     	          	           	          	           	             	                                      	 0.94846   0.09891  -1.21255   0.16517  
      	     	          	           	          	           	             	                                      	 0.17281   0.54289   0.11668  -0.83238  

  #48	19   	-3098.01759	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90904   0.12175   0.58399   0.20330  
      	     	          	           	          	           	             	                                      	 0.21271  -1.18300   0.14362   0.82667  
      	     	          	           	          	           	             	                                      	 0.86490   0.12175  -1.18995   0.20330  
      	     	          	           	          	           	             	                                      	 0.21271   0.49506   0.14362  -0.85139  

  #49	19   	-3137.27596	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90490   0.10094   0.63541   0.16855  
      	     	          	           	          	           	             	                                      	 0.17634  -1.19487   0.11907   0.89946  
      	     	          	           	          	           	             	                                      	 0.94106   0.10094  -1.21055   0.16855  
      	     	          	           	          	           	             	                                      	 0.17634   0.53865   0.11907  -0.83406  

  #50	19   	-3166.91192	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90385   0.09568   0.64841   0.15977  
      	     	          	           	          	           	             	                                      	 0.16715  -1.19788   0.11286   0.91786  
      	     	          	           	          	           	             	                                      	 0.96030   0.09568  -1.21575   0.15977  
      	     	          	           	          	           	             	                                      	 0.16715   0.54967   0.11286  -0.82969  

  #51	19   	-2891.73314	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.89952   0.07395   0.70208   0.12349  
      	     	          	           	          	           	             	                                      	 0.12920  -1.21027   0.08724   0.99384  
      	     	          	           	          	           	             	                                      	 1.03980   0.07395  -1.23724   0.12349  
      	     	          	           	          	           	             	                                      	 0.12920   0.59517   0.08724  -0.81161  

  #52	19   	-3017.63675	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90649   0.10895   0.61562   0.18192  
      	     	          	           	          	           	             	                                      	 0.19034  -1.19030   0.12852   0.87145  
      	     	          	           	          	           	             	                                      	 0.91175   0.10895  -1.20262   0.18192  
      	     	          	           	          	           	             	                                      	 0.19034   0.52187   0.12852  -0.84073  

  #53	19   	-2966.21008	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90672   0.11008   0.61283   0.18381  
      	     	          	           	          	           	             	                                      	 0.19231  -1.18966   0.12985   0.86750  
      	     	          	           	          	           	             	                                      	 0.90761   0.11008  -1.20150   0.18381  
      	     	          	           	          	           	             	                                      	 0.19231   0.51951   0.12985  -0.84167  

  #54	19   	-2979.56380	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90367   0.09476   0.65068   0.15823  
      	     	          	           	          	           	             	                                      	 0.16554  -1.19840   0.11178   0.92108  
      	     	          	           	          	           	             	                                      	 0.96368   0.09476  -1.21666   0.15823  
      	     	          	           	          	           	             	                                      	 0.16554   0.55160   0.11178  -0.82892  

  #55	19   	-3221.41812	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90603   0.10665   0.62130   0.17809  
      	     	          	           	          	           	             	                                      	 0.18632  -1.19161   0.12581   0.87948  
      	     	          	           	          	           	             	                                      	 0.92015   0.10665  -1.20489   0.17809  
      	     	          	           	          	           	             	                                      	 0.18632   0.52669   0.12581  -0.83882  

  #56	19   	-3016.24672	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90919   0.12251   0.58211   0.20458  
      	     	          	           	          	           	             	                                      	 0.21404  -1.18256   0.14452   0.82401  
      	     	          	           	          	           	             	                                      	 0.86211   0.12251  -1.18920   0.20458  
      	     	          	           	          	           	             	                                      	 0.21404   0.49346   0.14452  -0.85202  

  #57	19   	-3161.72297	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90339   0.09337   0.65412   0.15591  
      	     	          	           	          	           	             	                                      	 0.16312  -1.19919   0.11014   0.92594  
      	     	          	           	          	           	             	                                      	 0.96876   0.09337  -1.21803   0.15591  
      	     	          	           	          	           	             	                                      	 0.16312   0.55451   0.11014  -0.82776  

  #58	19   	-3044.47908	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90607   0.10681   0.62090   0.17836  
      	     	          	           	          	           	             	                                      	 0.18660  -1.19152   0.12600   0.87892  
      	     	          	           	          	           	             	                                      	 0.91957   0.10681  -1.20473   0.17836  
      	     	          	           	          	           	             	                                      	 0.18660   0.52635   0.12600  -0.83895  

  #59	19   	-3010.95801	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90654   0.10920   0.61500   0.18235  
      	     	          	           	          	           	             	                                      	 0.19078  -1.19016   0.12882   0.87056  
      	     	          	           	          	           	             	                                      	 0.91083   0.10920  -1.20237   0.18235  
      	     	          	           	          	           	             	                                      	 0.19078   0.52135   0.12882  -0.84094  

  #60	19   	-3092.58667	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90441   0.09848   0.64147   0.16445  
      	     	          	           	          	           	             	                                      	 0.17206  -1.19627   0.11618   0.90804  
      	     	          	           	          	           	             	                                      	 0.95003   0.09848  -1.21297   0.16445  
      	     	          	           	          	           	             	                                      	 0.17206   0.54379   0.11618  -0.83202  

  #61	19   	-3117.04080	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90527   0.10281   0.63078   0.17168  
      	     	          	           	          	           	             	                                      	 0.17962  -1.19380   0.12128   0.89291  
      	     	          	           	          	           	             	                                      	 0.93420   0.10281  -1.20869   0.17168  
      	     	          	           	          	           	             	                                      	 0.17962   0.53473   0.12128  -0.83562  

  #62	19   	-2981.66472	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90621   0.10755   0.61907   0.17959  
      	     	          	           	          	           	             	                                      	 0.18790  -1.19110   0.12687   0.87633  
      	     	          	           	          	           	             	                                      	 0.91686   0.10755  -1.20400   0.17959  
      	     	          	           	          	           	             	                                      	 0.18790   0.52480   0.12687  -0.83957  

  #63	19   	-2964.70368	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90230   0.08788   0.66766   0.14675  
      	     	          	           	          	           	             	                                      	 0.15354  -1.20232   0.10367   0.94512  
      	     	          	           	          	           	             	                                      	 0.98883   0.08788  -1.22346   0.14675  
      	     	          	           	          	           	             	                                      	 0.15354   0.56599   0.10367  -0.82320  

  #64	19   	-3035.79811	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90361   0.09448   0.65135   0.15777  
      	     	          	           	          	           	             	                                      	 0.16507  -1.19856   0.11146   0.92203  
      	     	          	           	          	           	             	                                      	 0.96467   0.09448  -1.21693   0.15777  
      	     	          	           	          	           	             	                                      	 0.16507   0.55217   0.11146  -0.82869  

  #65	19   	-3029.38306	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90084   0.08057   0.68572   0.13455  
      	     	          	           	          	           	             	                                      	 0.14077  -1.20649   0.09505   0.97068  
      	     	          	           	          	           	             	                                      	 1.01557   0.08057  -1.23069   0.13455  
      	     	          	           	          	           	             	                                      	 0.14077   0.58130   0.09505  -0.81712  

  #66	19   	-2898.26000	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90895   0.12131   0.58507   0.20257  
      	     	          	           	          	           	             	                                      	 0.21194  -1.18325   0.14310   0.82820  
      	     	          	           	          	           	             	                                      	 0.86650   0.12131  -1.19039   0.20257  
      	     	          	           	          	           	             	                                      	 0.21194   0.49598   0.14310  -0.85102  

  #67	19   	-3131.06846	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90468   0.09987   0.63804   0.16677  
      	     	          	           	          	           	             	                                      	 0.17449  -1.19548   0.11782   0.90318  
      	     	          	           	          	           	             	                                      	 0.94495   0.09987  -1.21160   0.16677  
      	     	          	           	          	           	             	                                      	 0.17449   0.54088   0.11782  -0.83318  

  #68	19   	-3057.64895	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90137   0.08322   0.67919   0.13896  
